﻿时间,收盘点位,市值,流通市值,PB(加权平均值),PB分位点(加权平均值),PB危险值(加权平均值),PB中位值(加权平均值),PB机会值(加权平均值)
2019-06-14,8186.54,26819862563122.59,19718176160178,1.2635,0.186,1.4659,1.3463,1.2694
2019-05-31,8092.02,26609408289666.594,19539326955084,1.2472,0.1534,1.4659,1.3466,1.268
2019-04-30,8702.26,28380089355392.113,20730546798517,1.326,0.4041,1.4659,1.3466,1.268
2019-03-29,8533.62,27840038528473.598,20190897928607,1.3657,0.6325,1.4659,1.3399,1.267
2019-02-28,8173.6,27271753122164.51,19702496046939,1.355,0.5929,1.4659,1.3336,1.2659
2019-01-31,7241.96,24663647514317.293,17856722928085,1.2255,0.1216,1.4659,1.3327,1.2581
2018-12-28,6808.8,23232683479691.6,16860871154517,1.1544,0.0027,1.4691,1.3371,1.2724
2018-11-30,7141,23396742753979.19,17128195017076,1.1678,0.0054,1.4757,1.3438,1.2818
2018-10-31,7150.2,23975448021314.305,17472526979951,1.1968,0,1.4864,1.3504,1.2887
2018-09-28,7699.02,25476931893876.902,18663955116007,1.3399,0.4264,1.4912,1.3544,1.2964
2018-08-31,7371.18,24185338734084.082,17727486243242,1.2694,0.1023,1.4951,1.3599,1.3011
2018-07-31,7693.16,25013864979954.812,18371384472161,1.3389,0.3707,1.5019,1.3658,1.304
2018-06-29,7571.95,24370686129637.09,17915279936881,1.2849,0.116,1.5088,1.3723,1.3082
2018-05-31,8148.46,25555196636274.902,18908437195238,1.3371,0.3238,1.5201,1.3785,1.309
2018-04-27,8075.31,25686040184212.8,18843897184680,1.3557,0.3869,1.537,1.391,1.3094
2018-03-30,8304.42,26251378807402.594,19185121355701,1.4075,0.5007,1.5569,1.4073,1.3094
2018-02-28,8624.61,27544993494032.695,20058213898086,1.5019,0.6658,1.5768,1.4125,1.3094
2018-01-31,9269.75,29873679003462.305,21587839887089,1.6293,0.8076,1.6012,1.4125,1.3094
2017-12-29,8647.03,27137940369331.004,19720503011429,1.4802,0.5981,1.6969,1.4179,1.3094
2017-11-30,8673.72,26529280156429.684,19387974319088,1.4604,0.528,1.6969,1.4055,1.3094
2017-10-31,8592.63,26518893195558.105,19305141064308,1.4607,0.5533,1.6996,1.379,1.304
2017-09-29,8297.7,25707193814542.703,18719813851247,1.4949,0.6444,1.6969,1.373,1.2992
2017-08-31,8359.33,25974387649316.6,18877494274537,1.504,0.6749,1.6996,1.365,1.2895
2017-07-31,8161.84,25289197220895.703,18375070530368,1.4826,0.6566,1.6996,1.3564,1.2764
2017-06-30,7900.35,24264006006600.305,17635547020096,1.3975,0.6344,1.6969,1.3498,1.2515
2017-05-31,7644.96,23406023584934.7,17334442225036,1.3574,0.5534,1.6996,1.3429,1.2419
2017-04-28,7438.38,22599670742440.1,16779350826486,1.3304,0.4707,1.6969,1.3402,1.2385
2017-03-31,7491.94,22612018227577.496,16838717117717,1.3602,0.5749,1.6969,1.332,1.2335
2017-02-28,7548.37,22675036806986.707,16871342471018,1.3808,0.623,1.6996,1.3225,1.2223
2017-01-26,7459.74,22381661146437.6,16679292012770,1.3644,0.6276,1.6969,1.3162,1.2106
2016-12-30,7224.6,21396228397296.4,15948065218091,1.308,0.4796,1.6969,1.3109,1.2044
2016-11-30,7635.95,22411936621621.2,16806489742249,1.348,0.6052,1.6996,1.3072,1.2043
2016-10-31,7169.72,21122758683460.094,15804854474076,1.2706,0.4235,1.6996,1.3037,1.2043
2016-09-30,6958.5,20522553830614,15339359839170,1.2995,0.4877,1.6969,1.3029,1.2044
2016-08-31,7138.27,21060607450731.305,15744119566934,1.3337,0.5929,1.6996,1.3029,1.2043
2016-07-29,6913.5,20296271972718.51,15186778732436,1.3037,0.515,1.6969,1.2983,1.2044
2016-06-30,6735.89,19877315099444.6,14873913952841,1.2535,0.3956,1.6969,1.2948,1.2044

数据来源于：理杏仁网站(lixinger.com)
